,
&amp; Begumpet,&amp; Begumpet
A.BAD,A.BAD
A.G.College,A.G.College
A.G.Colony,A.G.Colony
A.G.gate,A.G.gate
A.Gunj,A.Gunj
A.MAISAMMA,A.MAISAMMA
A.PET,A.PET
A.PURI,A.PURI
A.R.PALLY,A.R.PALLY
AB.METTU,AB.METTU
ABDULLAPOOR METTU,ABDULLAPOOR METTU
Abids,Abids
ABIDS,ABIDS
Abids &amp; Koti,Abids &amp; Koti
ADDAGUTTA,ADDAGUTTA
ADIBATLA,ADIBATLA
Adibatla,Adibatla
ADRASPALLY,ADRASPALLY
Afalgunj,Afalgunj
AFG,AFG
Afz,Afz
AFZ,AFZ
AFZ.,AFZ.
Afzal,Afzal
"AFZAL
  GUNJ",AFZAL GUNJ
Afzalganj,Afzalganj
Afzalganj.,Afzalganj.
Afzalgunj,Afzalgunj
AFZALGUNJ,AFZALGUNJ
Afzalgunj / FMBS,Afzalgunj / FMBS
Afzulgunj.,Afzulgunj.
"AG
  OFF.",AG OFF.
AG COLONY,AG COLONY
Agapally,Agapally
AHIBILMUTT,AHIBILMUTT
AHMEDNAGAR,AHMEDNAGAR
AIR,AIR
Air Force Academy,Air Force Academy
AIRPORT,AIRPORT
AJILAPUR,AJILAPUR
Akanpally,Akanpally
AKULAMAILARAM,AKULAMAILARAM
AKULAMILARAM,AKULAMILARAM
ALAMASAGUDA,ALAMASAGUDA
ALIABAD,ALIABAD
Aliabad,Aliabad
ALINAGAR,ALINAGAR
Aliyabad,Aliyabad
ALIYABAD,ALIYABAD
Alkapuri,Alkapuri
Allind,Allind
"ALLWYN
  COLONY",ALLWYN COLONY
Allwyn Colony,Allwyn Colony
"Allwyn x
  Rds",Allwyn x Rds
AllwynCol,AllwynCol
ALWAL,ALWAL
ALWAL IG STATUE,ALWAL IG STATUE
"AMBEDKAR
  NGR",AMBEDKAR NGR
AMBEDKAR NAGAR,AMBEDKAR NAGAR
AMBERPET,AMBERPET
Amberpet,Amberpet
AMDAPOOR,AMDAPOOR
Ameerepet,Ameerepet
Ameerept,Ameerept
AMEERPET,AMEERPET
Ameerpet,Ameerpet
Ameerpet Village,Ameerpet Village
Ammuguda,Ammuguda
ANAJPOOR,ANAJPOOR
ANAJPUR/RFC,ANAJPUR/RFC
ANANDBAGH,ANANDBAGH
ANANTHARAM,ANANTHARAM
ANKIREDDYPALLY,ANKIREDDYPALLY
"ANKUSHAPUR
  GATE",ANKUSHAPUR GATE
"ANKUSHAPUR
  RLY GATE",ANKUSHAPUR RLY GATE
Annaram,Annaram
AOC,AOC
"AOC
  Gate",AOC Gate
AOC Gate,AOC Gate
Apollo,Apollo
APOLO,APOLO
Appojiguda,Appojiguda
Apuroopa Colony,Apuroopa Colony
Apuroopa Colony/JDM,Apuroopa Colony/JDM
Aramaisamma,Aramaisamma
Aramghar,Aramghar
ARUNDHATI,ARUNDHATI
ARUTLA,ARUTLA
Arutla,Arutla
AS RAO NAGAR,AS RAO NAGAR
Asbestos Colony,Asbestos Colony
Ashoknagar,Ashoknagar
ASIFNGR,ASIFNGR
Asifngr,Asifngr
ASR NGR,ASR NGR
"ASRao
  Nagar",ASRao Nagar
Athwelli,Athwelli
Attapur,Attapur
AUSHAPUR,AUSHAPUR
Aushapur,Aushapur
azianagar,azianagar
Aziznagar,Aziznagar
AZZINATANDA,AZZINATANDA
"B
  HILLS",B HILLS
B.BANDA,B.BANDA
B.BLOCKS,B.BLOCKS
B.GHAT,B.GHAT
B.HILLS,B.HILLS
B.L.Pally,B.L.Pally
B.L.pally,B.L.pally
B.L.PALLY,B.L.PALLY
B.N.Reddy,B.N.Reddy
"B.N.REDDY
  COL.",B.N.REDDY COL.
"B.N.REDDY
  COL..LBNR X RD",B.N.REDDY COL..LBNR X RD
B.N.REDDY CLY,B.N.REDDY CLY
B.N.REDDY COL.,B.N.REDDY COL.
"B.N.REDDY COL.
  YAMZAL",B.N.REDDY COL. YAMZAL
B.N.REDDY COL. LBNR,B.N.REDDY COL. LBNR
B.nagar,B.nagar
B.NAGAR,B.NAGAR
B.P.Nagar,B.P.Nagar
B.PALLY,B.PALLY
B.pet,B.pet
B.PET,B.PET
B.Pet,B.Pet
B.pura,B.pura
B.RAMARAM,B.RAMARAM
BACHARAM,BACHARAM
Bacharam,Bacharam
BACHUPALLY,BACHUPALLY
Bachupally,Bachupally
BADANGIPET,BADANGIPET
Badangipet,Badangipet
BAHADURPALLY,BAHADURPALLY
Bahadurpura,Bahadurpura
BAKARAM,BAKARAM
BAKARAM(NAGIRED,BAKARAM(NAGIRED
BALAJI NAGAR,BALAJI NAGAR
BALAJI TEMPLE,BALAJI TEMPLE
BALAJINAGAR,BALAJINAGAR
BALANAGAR,BALANAGAR
Balanagar,Balanagar
BALANAGAR/ESI,BALANAGAR/ESI
Balanagar/JBS,Balanagar/JBS
BALANAGR,BALANAGR
BALAPOOR,BALAPOOR
"Balapoor
  &quot;X&quot; Rds",Balapoor &quot;X&quot; Rds
Balapoor x Rds.,Balapoor x Rds.
BALIJAGUDA,BALIJAGUDA
Balkampet,Balkampet
Bandaravirala,Bandaravirala
Bandlaguda,Bandlaguda
BANDLAGUDA,BANDLAGUDA
"Banjara
  Hills",Banjara Hills
Banjara Hills,Banjara Hills
Banjarahills,Banjarahills
"Banjarahills
  R.No.7 &amp; Masabtank",Banjarahills R.No.7 &amp; Masabtank
Banjarahills R.No.7 &amp; Masabtank,Banjarahills R.No.7 &amp; Masabtank
BANK COLONY,BANK COLONY
BAPU GHAT,BAPU GHAT
BAPUGHAT,BAPUGHAT
BAPUJINAGAR,BAPUJINAGAR
Baratnagar,Baratnagar
BARKAS,BARKAS
Bashamoniguda,Bashamoniguda
BATA,BATA
Bata,Bata
Batasingaram,Batasingaram
Bavanicly,Bavanicly
BEERBANBAGH,BEERBANBAGH
BEGUMPET,BEGUMPET
Begumpet,Begumpet
Bela,Bela
BGPT,BGPT
BHADURPURA,BHADURPURA
Bhanur,Bhanur
BHARATHNAGAR,BHARATHNAGAR
"Bhavani
  Nagar",Bhavani Nagar
Bhel,Bhel
BHEL,BHEL
BHEL MIG,BHEL MIG
BHONGIR,BHONGIR
BHOODEVI NAGAR,BHOODEVI NAGAR
"BIBI
  NAGAR",BIBI NAGAR
Bibinagar,Bibinagar
Bibingr,Bibingr
"Bible
  House",Bible House
Bits Pilani,Bits Pilani
BKP,BKP
"BN
  Reddy",BN Reddy
BNR,BNR
BODUPPAL,BODUPPAL
Boduppal Cly,Boduppal Cly
BOGARAM,BOGARAM
Bogaram,Bogaram
BOIGUDA,BOIGUDA
BOLARAM,BOLARAM
BOLLARAM VLG,BOLLARAM VLG
Bonthapally,Bonthapally
Borabanda,Borabanda
BORABANDA,BORABANDA
Botiguda,Botiguda
Bourampet,Bourampet
BOWENPALLY,BOWENPALLY
Bowenpally,Bowenpally
BOWRAMPET,BOWRAMPET
BRAHMANPALLY,BRAHMANPALLY
BRAMHANPALLY,BRAMHANPALLY
BTC INSTT.,BTC INSTT.
Budvel,Budvel
Budvelvill,Budvelvill
Bulkapur,Bulkapur
C B S,C B S
C.C.PALLY,C.C.PALLY
C.GHAT,C.GHAT
C.MAMIDI,C.MAMIDI
C.PALLY,C.PALLY
CBS,CBS
CentralSchool,CentralSchool
Ch.gutta,Ch.gutta
CHADERGHAT,CHADERGHAT
Chaitanpuri,Chaitanpuri
Champapet,Champapet
CHAMPAPET,CHAMPAPET
Chandkhanguda,Chandkhanguda
CHANDNGR,CHANDNGR
Chandragirinagar,Chandragirinagar
Chandrayangutta,Chandrayangutta
